11,Paroxetine,Hot Flashes,"""Holy Hell is exactly how I feel. I had been taking Brisdelle for 1.5 years. The hot flashes did indeed subside - however, the side affects of this medicine coupled with the fact Noven was acquired by YET another pharmaceutical company - YOU CAN T PLACE A REP IN THE AREA, DISTRIBUTE YOUR DRUGS, AND THEN FIRE HER-AND NOT REPLACE THEREFORE there is NO medicine or support here. You dumped this drug in the Dr s hands and walked away. After calling Sebula - you act like you don t even care. You have made it impossible to obtain this. I happen to think this is illegal.  I just decided to wean myself off this and Premarin. It has been nothing short of a nightmare. If you don t need this drug- DON T START. Seriously.""",1,22-Feb-17,CVS - 9691,830 J STREET,95901,530-742-3206
12,Miconazole,Vaginal Yeast Infection,"""Honestly its day one on the 3 day treatment. Yes it burns a bit and it does leak out if you dont lay down after insertion. But im faithful it will work.""",6,07-May-15,2ND STREET PHARMACY,465 2ND STREET,94607,510-835-0774
13,Belviq,Weight Loss,"""This is a waste of money.  Did not curb my appetite nor did it make me feel full.""",1,23-Sep-14,WILLOW CREEK PHARMACY,39050 HIGHWAY 299,95573,530-629-3144
14,Seroquel,Schizoaffective Disorde,"""No problems, watch what you eat.""",10,08-Oct-14,TRINITY HOSPITAL,60 EASTER AVENUE,96093,530-623-5541
15,Ambien,Insomnia,"""Ditto on rebound sleepless when discontinued. I have done very strange things with no memory including taking additional Ambien. It has helped me sleep when under extreme stress but watch out. Now I am trying to learn how to sleep naturally.""",2,13-Jan-15,VALLEY HEALTH CENTER - SUNNYVALE,660 SOUTH FAIR OAKS AVENUE,94086,408-992-4830
16,Nuvigil,Narcolepsy,"""A doctor in the ER prescribed me 200 mg of Provigil when I was first diagnosed with Narcolepsy. It didn t seem to have any effect on me at all. Then I went to see my sleep doctor and he prescribed me 250 mg of Nuvigil. It finally allowed me to stay awake for an entire day. But if I went out somewhere I would be able to come home and take a nap and be fully awake again. Taking that with Xyrem makes me feel 98%..not quite 100, but still pretty great.""",9,30-Jun-10,OMNICARE,5200 CHURN CREEK ROAD,96002,530-224-3373
17,Chantix,Smoking Cessation,"""I smoked for 50+ years.  Took it for one week and that was it.  I didn t think it was possible for me to quit.  It has been 6 years now.  Great product.""",10,14-Feb-15,SAFEWAY,5431 CLAYTON ROAD,94517,925-672-2107
18,Microgestin Fe 1 / 20,Acne,"""So I was on Ginanvi for about 3 months before I switched over to this pill due to the high cost of Ginavi (I don t have insurance). Ginanvi had cleared up my acne in the short time I used and I was hoping this birth control would not mess that up. I was wrong. After 2-3 months of using this pill my skin went crazy with horrible breakouts. Now, 9 months later I still have horrible acne. If you want a pill that helps with acne this is NOT it. It also made my period &quot;weird&quot;. I would have little to no period one month and a heavy one the next . The month that I had a heavier flow my boobs would hurt a lot. I also noticed that at the beginning of taking it , I would be moody and extremely irritable all the time . It s time for me to switch.""",3,22-Jun-17,COMMUNITY PHARMACY,2500 NORTHEAST NEFF ROAD,97701,541-388-7731
19,Klonopin,Bipolar Disorde,"""This medication helped me  sleep, but eventually it became ineffective as a sleep aid. It also helps me calm down when in severe stress, anxiety, or panic.""",6,14-Jul-09,SAFEWAY,320 SOUTHWEST CENTURY DRIVE,97702,541-389-7184
20,Ciprofloxacin,Urinary Tract Infection,"""After just 1 dose of this ciprofloxacn, I felt 99% better.""",10,09-Jun-10,COSTCO,2500 NORTHEAST HIGHWAY 20,97701,541-383-2199
21,Trazodone,Insomnia,"""If I could give it a 0, I would absolutely do so.  Started at 50mg, and felt WIRED.  Wanted to get up and clean the house!  Bumped it to 100mg, less wired, but still wide awake all night.  Bumped to 150, with the same lack of effect.  MD informed me after this dose it becomes less effective for sleep, so why even bother.  15 years of trying different sleep medications and alternatives, and this, I can say for sure, was the LEAST effective I have ever come across.  At it s low price point, feel free to give it a try, and maybe you will be luckier?  Everyone s sleep conditions are different.  But if you get hyper after benadryl, expect the same reaction to this drug.""",1,18-Oct-16,RITE AID - 5886,2310 HOMESTEAD ROAD,94024,408-774-0134
22,EnteraGam,Irritable Bowel Syndrome,"""I am so happy with the samples provided by my Endocrinologist. The only thing I am so sad about is that I cannot afford the prohibitive costs. However, overall this is the best thing I ve ever had to make my Irritable Bowel Syndrome-D tolerable. I can go out of the house again without worrying and the terrible stomach pains are a thing of the past.""",9,01-Jan-15,WAL-MART SUPERCENTER - 5192,5821 ANTELOPE ROAD,95843,916-729-6236
23,Aripiprazole,Bipolar Disorde,"""After a few days and it &quot;kicked in,&quot; every noise in the house would make me jump, pictures on TV would feel as if they were 3-D and make me jump, and I literally felt like my skin was crawling, moving, and melding to things, such as blankets. My mind focused and keyed in on every piece of white noise there was and I had sweaty, night hot flashes with chills.""",1,10-Feb-10,WAL-MART - 1697,8465 ELK GROVE BOULEVARD,95758,916-684-7104
24,Cyclosporine,Keratoconjunctivitis Sicca,"""They didn t help my dry eyes at all.""",1,31-Dec-15,SAFEWAY,5021 LAGUNA BOULEVARD,95758,916-691-3777
25,Oxybutynin,Hyperhidrosis,"""This drug is pretty amazing. I ve had hyperhydrosis of the palms, soles and underarms since hitting puberty. I was skeptic since I ve previously tried botox, iontophoresis and drysol with limited results. However, after three days of taking oxybutynin (5mg 3x a day) I was 95% sweat-free. My only negative things to say about the drug is about side effects. I have gotten fairly dizzy/spaced out a few times, and I experience dry mouth pretty often. However, that s not bad in comparison to the acne I ve gotten. I used to get pimples around once a month, however now I have ones lasting for &lt;6 wks, varying in size/colour. I constantly have groups of acne on my face. Does anyone have any remedies? I ve tried acne masks, cleansers and tea tree oil.""",9,30-May-17,WAL-MART - 1881,7901 WATT AVENUE,95843,916-332-4427
26,Lurasidone,Bipolar Disorde,"""This medication should not be being prescribed for Bipolar 2, a milder form of a different illness, called Biploar 1, for which this medication works very well. Folks, Doctors NEED to be using SCIENCE to treat illnesses, not giving out random prescriptions for 2+ medications for 1 illness. If your Doctor is not doing monthly blood tests AT LEAST to see how the medications are affecting your body chemistry and serotonin levels, then you need to fire the Doctor and find one who does do his/her job the right way, and who is good at the science part of the job. Every medication you take counteracts and interacts with the other medications and the foods and other things that you put into your body each day messing with the chemistry of your body""",6,11-Feb-17,TARGET,5837 SUNRISE BOULEVARD,95610,916-526-0302
27,Clonazepam,Panic Disorde,"""klonopin has definitely given me my life back!""",10,19-Apr-08,KAISER PERMANENTE SACRAMENTO MEDICAL CENTER PHARMACY,2025 MORSE AVENUE,95825,916-973-5000
28,Ciclopirox,"Onychomycosis, Fingernail","""Worked quickly and well. I learned by trial that trimming/filing away dead pieces of nail once a week when removing is key for it to work.""",8,02-Jun-16,WALGREENS - 3185,825 MARKET STREET,94103,415-543-9502
29,Sodium oxybate,Narcolepsy,"""2.75g x 2 every night for five years. Deeper sleep with dreaming not infrequent. No side effects whatsoever. I ve not gotten used to the salt added during manufacture.""",10,10-Jan-13,WALGREENS - 4529,2145 MARKET STREET,94114,415-355-0800
30,Lamotrigine,Bipolar Disorde,"""I am a 25 year old female. I was diagnosed with bipolar II disorder about 5 years ago. I have been taking 150mg of lamotrigine for over 2 years. Thus far I have experienced significant improvements in controlling my bipolar II disorder. I recently paired 100mg of sertraline to improve the lows. Also, I experience rapid cycling. I rated this drug 70% as I feel I still have a long way to go in recovery. But, the drug has definitely allowed me to be a highly functioning individual.""",7,22-Nov-17,WALGREENS - 896,3601 CALIFORNIA STREET,94118,415-668-5202
31,Blisovi Fe 1 / 20,Birth Control,"""I absolutely love this product and recommend to everyone. I know everyone s body is different, so it is not for everyone, but it is not the medicines fault. I have NO negative symptoms since I started this. I used to have heavy periods, terrible cramps and headaches, and my periods were super long. I now have super consistent 3-4 LIGHT periods, no cramps or headaches. I have been on this pill for over a year now and have no desire to switch.""",10,03-Nov-17,WALGREENS - 890,135 POWELL STREET,94102,415-391-7222
32,Ivermectin,Rosacea,"""I ve had rosacea for almost 20 years and have been on all kinds of antibiotics. Most I am allergic to the last was erythromycin which worked okay. But the Dr though it was time for me to get off the antibiotics. I ve been on Soolantra for about 6 months and my face has never looked better. I m thrilled with everything about it. You do use just a dab so a tube will last at least 3 months if not more. I do have insurance that helps a lot with the cost but what I do pay is well worth it.""",10,01-Apr-16,BEL AIR - 509,1039 SUNRISE AVENUE,95661,916-796-6104
33,Suprep Bowel Prep Kit,Bowel Preparation,"""This stuff wasn t too bad!  I had a hard time with the first dose as I m not used to very sugary drinks and such.  Because of this, I did think it tasted quite gross.  It had a strange grape salty flavor but it was only 16 oz, so it wasn t too bad to get down.  I had absolutely no discomfort or nausea.  It worked very fast and I was completely clean for the colonoscopy - this was my first colonoscopy and after having read the awful reviews of the gallon jug prep, I went for this stuff.""",8,18-Feb-15,KAISER PERMANENTE POINT WEST MEDICAL OFFICE PHARMACY,1650 RESPONSE ROAD,95815,916-614-4065
34,Movantik,"Constipation, Drug Induced","""my advice on movantik is understand that movantik is an opioid blocker in the same manner that naloxone (found in suboxone) is an opioid blocker. My husband took 12.5mg and was thrown in withdrawal. Nausea first, chills, fever, shaking so hard the bed was vibrating. I thought movantik worked on the backed up s**t but it stops the opioid from working. Of course you will have diarrhea when your pain meds are cut off. It may not happen to everyone but it happened to my husband. I guess it s back to OIC""",1,26-Aug-16,RITE AID - 6062,4004 FOOTHILLS BOULEVARD,95747,916-786-8671
35,Lorcaserin,,"""Have had back and leg pain and sometimes arm pain.""",5,27-May-14,BEL AIR - 518,2341 SUNSET BOULEVARD,95765,916-632-0184
36,Actos,"Diabetes, Type 2","""Have been on Actos for almost a year, gained 24 pounds and have swelling in hands and feet and are retaining a lot of water in my thighs.  My sugar levels are good.  My doctor lowered my dosage from 30 mg to 15 mg but refused to take me off.  Will get a second opinion because the side effects are too much.""",4,09-Jun-10,WALGREENS - 1537,3232 FOOTHILL BOULEVARD,94601,510-261-4552
37,Duloxetine,Pain,"""Been on 30mg Cymbalta for 2 weeks. Started getting relief by the 2nd day. Am 58 year old male with spinal stenosis, degenerative disc disease, and spondy. Plan was to go to 60mg but I am getting enough relief at 30mg. I believe I will try to stay on that dose to minimize side effects. Some constipation, difficult reaching orgasm, some night sweats and minor headaches. Oh, insomnia if I took it at night.  I had samples of this medicine for 6 months but delayed starting it because of horror stories on the internet. Pain was ruining my life so this medicine seems to be the best option.""",9,27-Mar-12,SAFEWAY,774 ADMIRAL CALLAGHAN LANE,94591,707-554-8060
38,NuvaRing,Birth Control,"""I was on this for 5 years (and birth control pills for about 12 years), and would have told you how fabulous it was.  &lt;List all the benefits everyone else has listed, here.&gt;  Then a friend of mine convinced me to stop birth control all together for a while, and I turned into a new and better person!  I dropped 5 lbs instantly, had a huge sex drive, more lubrication, and just felt better.  I wouldn t say I was depressed before, but after going off of it, I would describe my time on birth control as feeling like I was inside a cloud.  Less emotions in general, sometimes a little down.  I m bummed I m back on it, but it seems to be the least impactful than the others.  I might try Paragard to avoid the hormones.""",7,17-Jun-11,CAREPLUS CVS PHARMACY,445 CASTRO STREET,94114,415-864-7030
39,Escitalopram,Depression,"""I am a 22 year old female college student. I wanted to write this because when I was at my lowest of low when I felt absolutely hopeless... these positive reviews are what got me through the day. I experienced a lot of change.  I was also in a relationship that made me unhappy. I stopped doing the things I liked to do such as run, party, work, hang out with friends etc. In result, I never had energy. I constantly felt guilty. I cried everyday, sometimes multiple times of day. I went to group therapy. I dropped 10lbs in two weeks. I eventually got on this medicine &amp; the first 4 days felt crazy &amp; tired! TAKE AT NIGHT. Give this medicine time! Now 3 weeks in I am back to myself and am truly happy! Keep your head up.""",9,29-Apr-14,TARGET,10881 OLSON DRIVE,95670,916-503-2513
40,Tesamorelin,Lipodystrophy,"""I have been administering Egrifta now for 2 1/2 month s, with absolutely no reduction of abdominal fat. I am a thin person with my abdominal fat causing me to be unable to close my buttons and zippers of my clothing. Then I heard of Egrifta thinking it was the answer. Wrong! No results, just a painful irritated, scar tissue in my abdomen now. """,3,11-Jan-12,UNIVERSITY OF CALIFORNIA DAVIS CLINIC PHARMACY IN DAVIS,2660 WEST COVELL BOULEVARD,95616,530-747-3051
41,Campral,Alcohol Dependence,"""Been a heavy drinker for over 6 years since a major operation that left me addicted on morphine. Replaced morphine with beer and wine everyday. From day one of taking Campral, all my cravings went away. I just don t feel like a drink anymore.""",10,23-Aug-13,WALGREENS - 1054,3398 MISSION STREET,94110,415-824-6886
42,Gabapentin,Bipolar Disorde,"""I started taking gabapentin experimentally to treat chronic depression and am now prescribed 1800mg a day.  At doses of 2700mg I experienced a significant improvement in impulse control and depression in general.  Went from being a shut in, to going for walks and enjoying my time in the company of others.  At the lower dose of 1800mg a day, I don t experience much improvement, save for a decrease in depressive symptoms.  I m looking forward to a larger dose if my doctor okays it.""",8,24-Sep-14,DANIEL S PHARMACY,943 GENEVA AVENUE,94112,415-584-2210
43,Levonorgestrel,Emergency Contraception,"""I want to share my experience to possibly ease some of the ladies out there.
The incident occur in Nov 18 (the condom broke) and it was 4 days after my period ended and approximately 4 days before ovulation. This means I was fertile. 
when we noticed that the condom broke, we immediately bought Plan B One Step and was taken about 45 minutes or an hour later. 
The sooner you take the greater the chances it will work.
So I waited anxiously, praying I get my period. I felt side effects such as fatigue, bloated, nauseous, cramps, and moody. I was that these might be  this pregnancy symptoms. 
I waited exactly two weeks and I got my period. I was the happiest person ever. My period was here early by approximately 3-4 days. Good luck.""",10,28-Dec-13,TARGET,1280 DANA DRIVE,96003,530-224-1437
44,Aubra,Birth Control,"""I m absolutely DONE taking this horrible birth control! I ve  been taking Aubra for a month and a half... I m moody, irritable, depressed, hungry, bitchy... vaginal discharge has changed  (gross), my urine smells, my acne has gotten so out of hand and it s STUBBORN. Cystic acne all around my mouth, jawline, Chin and neck. After doing some research online, I discovered I m not the only one. Birth control is different for everyone but this is going in the trash... I will not be taking this any longer. It also kills your sex drive... as for the difference in bleeding, I wouldn t know. I started this pill on day 1 of menstrual cycle last month and haven t had a period yet... have had plenty of headaches though! """,1,13-Dec-15,WALGREENS - 1393,1630 OCEAN AVENUE,94112,415-239-0804
45,Plan B One-Step,Emergency Contraception,"""Our condom seemed to not have worked properly, but I had to work so I didn t take the pill until about 18 hours later. I have taken the two pill process about a year ago when the same had happened, and I didn t become pregnant then nor experience side effects that were noticeable. With this pill, I have been tired, but I am a teacher who works long hours and grades late into the evening so I didn t attribute it to the pill. I was not nauseated but took it a couple of hours before bed and was my usual tired self. My period came 5 days later with a vengance (strong cramps/heavier bleeding). It is 2 weeks early, which scared me a bit. That is why I wrote this review and sought out others. I also experienced diarrhea due to cramps being so strong.""",8,19-Jan-12,RITE AID - 6046,7900 ARCADIA DRIVE,95610,916-723-3379
46,Ethinyl estradiol / etonogestrel,Birth Control,"""I started on the oral contraceptive pill but got horrible nausea and vomiting, so this was my next option. NuvaRing has been fantastic, it has a fraction of the hormones and I get no nausea. Insertion and removing is really not a hassle, and you cannot feel it at all. For me, it beats the pill and vomiting, along with all the other symptoms. I haven t had any noticeable mood issues or migraines. I would recommend it to anyone!""",10,13-Dec-12,COSTCO,1051 HUME WAY,95687,707-453-7342
47,Microgestin Fe 1.5 / 30,Birth Control,"""About two months ago I had to switch from LoLestrin Fe to microgestin due to my insurance and pharmacy. Since starting microgestin I ve noticed insane bloating and nausea and weird discharge. While on lolestrin, my periods consisted of spotting and average side effects, nothing too serious, but after one month of micro I got my period and it was heavy and the cramping was so painful I had to leave my class. I ve also noticed I ve developed bad depression and my mood swings are very intense. My anxiety is bad and my sex drive is very low if not nonexistent anymore. It helped with my acne but I m a lot more paranoid about getting pregnant than I was on lolestrin. I m going to be talking to my doctor about possibly getting the shot.""",1,31-Oct-16,WHITE CROSS PROFESSIONAL PHARMACY,2160 APPIAN WAY,94564,510-724-2333
48,Wellbutrin,Major Depressive Disorde,"""Coming from a very problematic childhood, I ve been labeled everything from A to Z by psychiatrists and given a slew of meds. Wellbutrin in my experience has been beyond beneficial. At first for the first week or two I had slight tremors, irregular heartbeat, major insomnia and headaches but dismissed. I still have slight insomnia which is why I take them when I wake up. But reading comprehension, multitasking, thought focus and moods overall have dramatically improved! I m one of those people that may have to take them for the rest of my life but I m not complaining =). One thing that does bother me tho is dry mouth from wellbutrin but I take biotene which helps a bit. Enough to make it worth it anyways lol.""",8,06-Mar-15,WELLMAN S PHARMACY,1053 STOCKTON STREET,94108,415-362-3622
49,Clonazepam,Anxiety,"""Works for me""",6,24-Mar-13,CVS - 7141,291 SOUTH COOMBS STREET,94559,707-252-0101
50,Benzoyl peroxide / clindamycin,Acne,"""My GP had prescribed this to me at my requests for something to deal with my acne. I used this medication for about a month or a little longer. This medication dries out my face something terrible. I had to slather moisturizer on my face, which was probably counterintuitive. The medication worked well at drying out existing acne on my face but did nothing to prevent new acne. Every day I would wake up to new zits. I ended up going to a dermatologist and had something else prescribed. 

Also, with this medication containing benzoyl peroxide it stains your sheets very badly (thankfully, I already had a pillow case that resisted staining, same can t be said for the sheets).""",4,26-Jan-17,WALGREENS - 7044,88 SPEAR STREET,94105,415-856-0733
51,Etonogestrel,Birth Control,"""I ve had this birth control for a year now and at first things were going good, I only had a period once and never had one since but now I have super bad anxiety, I would constantly think I was pregnant, would waste my money on pregnancy test even though I am NOT pregnant and my depression was very bad and honestly , I really don t think it s worth it at all. I m getting it removed tomorrow and I most likely am going to have to be in therapy.""",3,15-Aug-17,RITE AID - 6044,4010 MANZANITA AVENUE,95608,916-482-4930
52,Miconazole,Vaginal Yeast Infection,"""OM Freakin G!!!! I ve had YIs before but this takes the cake. I ve used Monistat a few times and I never experienced such burning as I m experiencing now. It s starting to cool off but damn. This is only day 1 and I hope it s only the first day. I d like to think it s because the medication is reacting to the irritation from instance itching I was doing down there before buying the cream. Lol. Because unless Monistat change their ingredients, I can t think of any other logical reason for this severe burning like never before.""",1,23-Jul-15,CVS - 9214,1558 TRANCAS STREET,94558,707-253-7906
53,Nitrofurantoin,Bladder Infection,"""One more day! I hope the infection don t come back, because This antibiotic make me feel so sick,  now I m noticing  vaginal  discharge, I don t like it at all but Is a side effect, One more day!""",9,06-Jan-16,ROMIE LANE HEALTH MART PHARMACY,505 EAST ROMIE LANE,93901,831-424-0395
54,Etonogestrel,Birth Control,"""So I first got the nexplanon in July of 2014, for the first 5 months I was fine, I didn t get my period and if I did it was random spotting (very light) but around January I noticed I was very emotional EVERYTHING made me cry. Then my period started coming twice a month with horrific cramps. Or I would spot for 2-3 weeks have a week where I thought It was over and started spotting again. I ve now had it for 13 months and it does the job because I havent gotten pregnant. But that s only because I haven t been able to have sex cause I don t know when my period is going to come""",5,28-Aug-15,CVS - 9525,260 SPRUCE STREET,95948,530-846-3682
55,Ortho Tri-Cyclen Lo,Birth Control,"""I started off by taking regular Ortho Tri Cyclen, which helped some with my acne, but I also became severely depressed, so I went off it.  After a year and a half of not taking birth control at all, I began taking Ortho Tri Cyclen Lo for acne, and after 4 months my skin is MUCH clearer.  If I do get pimples, they are much smaller and more shallow than before, and go away quicker.  I am pleased!""",9,23-Dec-13,WALGREENS - 895,2012 EL CAMINO REAL,95050,408-246-1054
56,Tamsulosin,Benign Prostatic Hyperplasia,"""I have been taking Flomax for a month for Benign Prostatic Hyperplasia. I had been getting up to urinate 2 or 3 times a night, suffering from severe pain during urination. Since starting Flomax I have found  myself dizzy if getting up quickly, blurred vision, decreased sex drive with abnormal ejaculate. I have lower back pain. I feel weaker and tired all the time. On the up side I can go all night with no need to get up to urinate and the pain while urinating is 50 percent less.""",6,07-Aug-11,CVS - 9761,2100 COLUMBUS PARKWAY,94510,707-747-3450
57,Tofacitinib,Rheumatoid Arthritis,"""I experienced an improvement in pain, swelling and stiffness within the first two weeks. I was able to titrate off of prednisone and hydrocodone. However, I am experiencing stomach upset and rapid hair loss, which is very disconcerting.""",9,20-Dec-13,CVS - 9793,2700 HOMESTEAD ROAD,95051,408-247-7400
58,Cryselle,Endometriosis,"""I started taking Cryselle almost 9 months ago to treat my endometriosis as well as to act as a birth control. My OB-GYN instructed me to skip the placebos, and as a result I have had virtually no cramping or break through bleeding (common on my last pill). However, as she warned, I developed severe acne. The acne I could deal with, but the emotional side effects I cannot. I have become increasingly moody the longer I have been on Cryselle, especially around the time of my &quot;period&quot;. I have also developed strong feelings of anxiety and depression. I had hoped when these symptoms began, that they would lessen over time, but they have just increased in severity. """,7,02-Feb-14,ORDWAY DRUGS AND MEDICAL SUPPLIES,499 ALVARADO STREET,93940,831-372-8085
59,Amphetamine / dextroamphetamine,ADHD,"""Yes, this medication does work wonders, at first.  Diagnosed ADHD (by a Psychiatrist)  at the age of 26.  The first 3 years it worked quite well and felt like a godsend.  I took 5-6 days a week and my life demonstratively improved.  Focus, completing tasks, mental clarity, improved self-esteem...life was good.

Adderall, like other CNS stimulants, tend to become less effective after time and I noticed this more pronouncedly by my 5th year.  At that point, I felt trapped by the drug and tried to stop.  The problem was that even after a month or more without Adderall, none of discontinuation symptoms were improving.  While I continue to use Adderall for maintenance, I derive little benefit.  Be aware, the effects won t last indefinitely!""",2,20-May-15,CVS - 9930,6800 SKYWAY,95969,530-876-0184
60,Clindamycin,Acne,"""I have had problems with acne off and on as a teenager, but after I had our  children it got worse.  I mean a LOT worse!  It got so bad that I  have not been in any family pictures or even gone in public for the last 4 years! I am 39 years old and finally got so  sick of wasting money and time on everything you can imagine,  even tried every old wives tales. Finally my Dr put me on this, benzol peroxide 5% and Retinal- A. 

Yes  weeks 1-3 made it 30%worse but week 4 and beyond my skin looks amazing!  I now love going into public and my confidence is through the roof, I would definitely recommend for everyone!""",8,13-Aug-16,WALGREENS - 7191,6199 SUNRISE BOULEVARD,95610,916-726-6802
61,Pramipexole,Restless Legs Syndrome,"""I am a 12 year survivor of mirapex/Pramepexole. It was a miracle to begin with. I only slept about 4hrs a night but had enormous energy and never tired. That lasted nine years. But during that time I lost bladder control, impulse disorders, loss of concentration, myalgia neuropathy, falling asleep while driving, many more and augmentation. I was on .5 mg. Detoxing med free from this med was horrendous! After detox most of the side effects cleared up. But I still have issues with memory and concentration. This is the only med I took on a reg bases as my health was good. Im still suffering the side effects of the Withdrawl from it. Studies should be for longer than 12 weeks.""",1,04-Jun-16,CVS - 9973,1311 MAIN STREET,96093,530-623-4866
62,Skyla,Birth Control,"""honestly the measurement hurt more than the actual placement! And I m so happy I went through with it!!! I wish I didn t read all of these reviews before I did it. Pain is subjective and its not that bad. They explained the procedure to me and I felt more comfortable. I ve never had kids. Its just like getting a regular pap. I think it is the best option of birth control. That being said I will definitely recommend getting this! Do expect cramping for a day or two. I didnt cramp until about three hours after having it done. I took ibuprophen and slept with a heating bad. Very mild cramping today but I am happy with my choice :)""",10,14-Jul-15,RALEY S - 228,4051 WOODCREEK OAKS BOULEVARD,95747,916-771-3344
63,Lastacaft,"Conjunctivitis, Allergic","""I used them and within 6 hours my eyes swelled almost shut, and cheeks puffed up. 2 weeks later I still have red watery eyes, but thankfully the swelling is finally gone. I will never use this product again (obviously), but it is also incredibly expensive. I have never had an allergic reaction to any medication before so this was very unexpected.""",1,30-Nov-11,SAFEWAY,475 M STREET,95531,707-465-3663
64,Effexor XR,Anxiety,"""I was prescribed this for onset of anxiety and possible hormonal mood swings. I was not told by my doctor how it would make me feel or how hard coming off of it would be. I took one 37.5 mg capsule and was horrified that I was given this. I woke up at 2am with an anxiety attack for about the first hour. It then went into being wired, nauseous, shakey, weak, chills and sweating. 11 years ago I quit using meth and this was awful that I felt like I was on it again. I laid in bed the entire day, wide awake and ill. I never took another dose! And even one pill took at least another full day to leave my system. My nervous system is obviously sensitive and I could not handle this medication at all.""",2,27-Aug-17,CAREPLUS,3031 TELEGRAPH AVENUE,94705,510-841-2211
